,language_name,language_creator,conlang_status,conlang_type,language_creator_profile,language_conlang_profile
967,Exanaya,jonteh,New,Artistic Language (Artlang),http://conworkshop.info/view_profile.php?m=S9739998649,http://conworkshop.info/view_language.php?l=GZN
968,Exavish,Thepacboy,On hold,Not specified,http://conworkshop.info/view_profile.php?m=S8844844374,http://conworkshop.info/view_language.php?l=EVD
969,Exgot,Avlönskt,New,A priori,http://conworkshop.info/view_profile.php?m=S8747377188,http://conworkshop.info/view_language.php?l=EXG
970,Exister,aver,New,Other,http://conworkshop.info/view_profile.php?m=S4779034971,http://conworkshop.info/view_language.php?l=EXT
971,Exsandalian,Ede Toth,New,A posteriori,http://conworkshop.info/view_profile.php?m=S2479523446,http://conworkshop.info/view_language.php?l=EXS
972,Eyakuan,Roman Yoshioka,New,A priori,http://conworkshop.info/view_profile.php?m=190722991340581,http://conworkshop.info/view_language.php?l=IIA
973,Eyákíye,Rob Conlan,New,Proto-Conlang,http://conworkshop.info/view_profile.php?m=10153894753723049,http://conworkshop.info/view_language.php?l=EYK
974,Eyddavi,jazlldjj,New,Signed conlang,http://conworkshop.info/view_profile.php?m=S6967009071,http://conworkshop.info/view_language.php?l=DVJ
975,Ezara,GeoName,New,A priori,http://conworkshop.info/view_profile.php?m=S3980655544,http://conworkshop.info/view_language.php?l=EZA
976,Ezrien,Aesc Earle,New,A priori,http://conworkshop.info/view_profile.php?m=534869540009915,http://conworkshop.info/view_language.php?l=SRY
977,ɸpɮ,orangefriedegg,New,Not specified,http://conworkshop.info/view_profile.php?m=S5676175738,http://conworkshop.info/view_language.php?l=DBT
978,Fa'duur Common,theoracle,New,Other,http://conworkshop.info/view_profile.php?m=S5439520260,http://conworkshop.info/view_language.php?l=FAD
979,Fadallan (Old),xylophonw,Abandoned,A priori,http://conworkshop.info/view_profile.php?m=S9239075492,http://conworkshop.info/view_language.php?l=NLH
980,Fae,dooooooooc,New,Artistic Language (Artlang),http://conworkshop.info/view_profile.php?m=S5700406897,http://conworkshop.info/view_language.php?l=FAE
981,Faev&apos;yal,StanleyD,Progressing,A priori,http://conworkshop.info/view_profile.php?m=S7106377969,http://conworkshop.info/view_language.php?l=FVL
982,Fafian,njanbac,On hold,A priori,http://conworkshop.info/view_profile.php?m=S8300314921,http://conworkshop.info/view_language.php?l=FFU
983,Fahrena,RomanNumeralII,Abandoned,A priori,http://conworkshop.info/view_profile.php?m=S2628069628,http://conworkshop.info/view_language.php?l=FAH
984,Fairyspeak,DemShoulders,New,Artistic Language (Artlang),http://conworkshop.info/view_profile.php?m=S2440489431,http://conworkshop.info/view_language.php?l=FRY
985,Fake English,Dylan Scott Low,New,Joke language,http://conworkshop.info/view_profile.php?m=1272599862756395,http://conworkshop.info/view_language.php?l=FEG
986,Faladrian,JayRS,New,Artistic Language (Artlang),http://conworkshop.info/view_profile.php?m=S0533772206,http://conworkshop.info/view_language.php?l=FDN
987,Falcarian,Solarence,New,A posteriori,http://conworkshop.info/view_profile.php?m=10211661700325916,http://conworkshop.info/view_language.php?l=FLK
988,Falfanian,pjr10th,Progressing,Not specified,http://conworkshop.info/view_profile.php?m=S6502944641,http://conworkshop.info/view_language.php?l=FLF
989,Fallish,CLynch2113,New,Artistic Language (Artlang),http://conworkshop.info/view_profile.php?m=S2588070851,http://conworkshop.info/view_language.php?l=519
990,Falmer,Aurial56,New,Not specified,http://conworkshop.info/view_profile.php?m=S7302689158,http://conworkshop.info/view_language.php?l=FMR
991,Famian,Matty Beales,New,Mixed,http://conworkshop.info/view_profile.php?m=100000434251387,http://conworkshop.info/view_language.php?l=FMN
992,Fanducian,Jealousy,Functional,A priori,http://conworkshop.info/view_profile.php?m=831029380342407,http://conworkshop.info/view_language.php?l=MDC
993,Fangal,Þrāmo,Abandoned,A priori,http://conworkshop.info/view_profile.php?m=S4713524037,http://conworkshop.info/view_language.php?l=FAN
994,Fangu,Thaegjox,Progressing,A priori,http://conworkshop.info/view_profile.php?m=S6195958538,http://conworkshop.info/view_language.php?l=FGU
995,Fantobenxborian,Sam Munroe,New,A priori,http://conworkshop.info/view_profile.php?m=S4259658168,http://conworkshop.info/view_language.php?l=MBN
996,Farlandian,sampearson441,New,A posteriori,http://conworkshop.info/view_profile.php?m=S0612160288,http://conworkshop.info/view_language.php?l=FRL
997,Farlandic,saxor,New,A priori,http://conworkshop.info/view_profile.php?m=1080693221944303,http://conworkshop.info/view_language.php?l=ASO
998,Farlish,Miorik,New,Artistic Language (Artlang),http://conworkshop.info/view_profile.php?m=S3881931758,http://conworkshop.info/view_language.php?l=FLS
999,Faroic,universebuilder,On hold,A posteriori,http://conworkshop.info/view_profile.php?m=S2525927962,http://conworkshop.info/view_language.php?l=FRK
1000,Faroshi,BleuPomme,New,Not specified,http://conworkshop.info/view_profile.php?m=S9095188418,http://conworkshop.info/view_language.php?l=FRZ
1001,Farsh,andrewdelr,New,Not specified,http://conworkshop.info/view_profile.php?m=S7125925228,http://conworkshop.info/view_language.php?l=FAR
1002,Farvranese,Anixias,New,Artistic Language (Artlang),http://conworkshop.info/view_profile.php?m=S9580166903,http://conworkshop.info/view_language.php?l=FRV
1003,Faserian,nioclás,New,A priori,http://conworkshop.info/view_profile.php?m=S5319689545,http://conworkshop.info/view_language.php?l=FAS
1004,Fast,fasmo,New,Joke language,http://conworkshop.info/view_profile.php?m=S8212775840,http://conworkshop.info/view_language.php?l=DRD
1005,Fayaric,Rob Varty,New,Not specified,http://conworkshop.info/view_profile.php?m=10205834475754863,http://conworkshop.info/view_language.php?l=FAY
1006,Faźul,aver,Progressing,A priori,http://conworkshop.info/view_profile.php?m=S4779034971,http://conworkshop.info/view_language.php?l=FZL
1007,Fádallan,xylophonw,New,A priori,http://conworkshop.info/view_profile.php?m=S9239075492,http://conworkshop.info/view_language.php?l=FDL
1008,Fáknir,Marris,New,A priori,http://conworkshop.info/view_profile.php?m=S7261699972,http://conworkshop.info/view_language.php?l=FAK
1009,Federate Northern,gamesaucer,New,A priori,http://conworkshop.info/view_profile.php?m=S9659812018,http://conworkshop.info/view_language.php?l=KEO
1010,Felinese,Kawa,Progressing,Not specified,http://conworkshop.info/view_profile.php?m=S4156986346,http://conworkshop.info/view_language.php?l=FEL
1011,Fellish,pempem,New,International Auxiliary Language (IAL),http://conworkshop.info/view_profile.php?m=S7000494087,http://conworkshop.info/view_language.php?l=FLI
1012,Femsha,Jace Elliott,Progressing,Artistic Language (Artlang),http://conworkshop.info/view_profile.php?m=102088196803433,http://conworkshop.info/view_language.php?l=FEM
1013,Fenekere,fenmere,New,A priori,http://conworkshop.info/view_profile.php?m=S8890960817,http://conworkshop.info/view_language.php?l=FKR
1014,Fenge,The Kaufman,New,A priori,http://conworkshop.info/view_profile.php?m=S3267436616,http://conworkshop.info/view_language.php?l=FNG
1015,Ferion,Benjaminmb,New,A priori,http://conworkshop.info/view_profile.php?m=S2693611022,http://conworkshop.info/view_language.php?l=FER
1016,Ferth,CLynch2113,Progressing,Artistic Language (Artlang),http://conworkshop.info/view_profile.php?m=S2588070851,http://conworkshop.info/view_language.php?l=FAZ
1017,Fervan,princeofmind,Progressing,Mixed,http://conworkshop.info/view_profile.php?m=S8111265933,http://conworkshop.info/view_language.php?l=WIL
1018,Feyish,Rin Rin,New,Artistic Language (Artlang),http://conworkshop.info/view_profile.php?m=S6314799498,http://conworkshop.info/view_language.php?l=DFH
1019,Feywaperan,redmoon,Progressing,Mixed,http://conworkshop.info/view_profile.php?m=S3725933053,http://conworkshop.info/view_language.php?l=FYY
1020,Fezbar,Dracolocutor,On hold,A priori,http://conworkshop.info/view_profile.php?m=S4752490159,http://conworkshop.info/view_language.php?l=FSB
1021,fhi,lyubit,New,Not specified,http://conworkshop.info/view_profile.php?m=S3886713347,http://conworkshop.info/view_language.php?l=CV3
1022,Filmenian,nathanid95,New,Artistic Language (Artlang),http://conworkshop.info/view_profile.php?m=S0826825941,http://conworkshop.info/view_language.php?l=FLN
1023,Finnish-Greenlandic creole,Tonic,New,Creole,http://conworkshop.info/view_profile.php?m=S2210761843,http://conworkshop.info/view_language.php?l=KLU
1024,Finnspeak,memejpg,New,A priori,http://conworkshop.info/view_profile.php?m=1155982614467830,http://conworkshop.info/view_language.php?l=FNS
1025,Fiorese,GreatOverseer,New,Artistic Language (Artlang),http://conworkshop.info/view_profile.php?m=S9308312149,http://conworkshop.info/view_language.php?l=FYS
1026,Firip,Tinzin,New,Artistic Language (Artlang),http://conworkshop.info/view_profile.php?m=S9648395666,http://conworkshop.info/view_language.php?l=FPI
1027,Firogan,erassion,New,A priori,http://conworkshop.info/view_profile.php?m=963248653696642,http://conworkshop.info/view_language.php?l=FRG
1028,First Attempt ,Marshall,New,A priori,http://conworkshop.info/view_profile.php?m=S3314846500,http://conworkshop.info/view_language.php?l=IIO
1029,First Draft,jplaral,New,Artistic Language (Artlang),http://conworkshop.info/view_profile.php?m=S8866985872,http://conworkshop.info/view_language.php?l=FID
1030,Fitaanu,YoYo,New,A priori,http://conworkshop.info/view_profile.php?m=249196235453510,http://conworkshop.info/view_language.php?l=FTA
1031,Fjaan,Cythraul,Progressing,A priori,http://conworkshop.info/view_profile.php?m=S5507050463,http://conworkshop.info/view_language.php?l=SVG
1032,Flachsprach,NathanNL,New,Mixed,http://conworkshop.info/view_profile.php?m=S0363827787,http://conworkshop.info/view_language.php?l=EAL
1033,Flammancian,rhaums,Progressing,A posteriori,http://conworkshop.info/view_profile.php?m=S4780952143,http://conworkshop.info/view_language.php?l=FLA
1034,Flaxonn,sampearson441,New,A posteriori,http://conworkshop.info/view_profile.php?m=S0612160288,http://conworkshop.info/view_language.php?l=FLX
1035,Fløkju,Tìlukonfð,On hold,Other,http://conworkshop.info/view_profile.php?m=S7955440356,http://conworkshop.info/view_language.php?l=FJS
1036,Flegr'en,Sean Starks,New,Not specified,http://conworkshop.info/view_profile.php?m=S9682366822,http://conworkshop.info/view_language.php?l=FGN
1037,Flelti,有冇人睇得明,On hold,Artistic Language (Artlang),http://conworkshop.info/view_profile.php?m=S7764193461,http://conworkshop.info/view_language.php?l=QPX
1038,Florentian,Redwars22,Progressing,A posteriori,http://conworkshop.info/view_profile.php?m=547778512037537,http://conworkshop.info/view_language.php?l=FLZ
1039,Florrum,Veil,Progressing,Artistic Language (Artlang),http://conworkshop.info/view_profile.php?m=S8461728097,http://conworkshop.info/view_language.php?l=FLO
1040,Focalese,JStaleknight,Functional,A priori,http://conworkshop.info/view_profile.php?m=S4947036740,http://conworkshop.info/view_language.php?l=FCL
1041,Folgya,CLynch2113,Progressing,Creole,http://conworkshop.info/view_profile.php?m=S2588070851,http://conworkshop.info/view_language.php?l=FOR
1042,Forest Goromul,Marlowe Clark,On hold,A priori,http://conworkshop.info/view_profile.php?m=100001893218553,http://conworkshop.info/view_language.php?l=FG1
1043,Forestspeak,gaelecia,New,Artistic Language (Artlang),http://conworkshop.info/view_profile.php?m=S9344820672,http://conworkshop.info/view_language.php?l=FZI
1044,Forlorn Common,theoracle,New,A priori,http://conworkshop.info/view_profile.php?m=S5439520260,http://conworkshop.info/view_language.php?l=RLN
1045,Fosaja,Ssin,New,A posteriori,http://conworkshop.info/view_profile.php?m=S1473539343,http://conworkshop.info/view_language.php?l=FSJ
1046,Fotran,MultiNET,Progressing,A priori,http://conworkshop.info/view_profile.php?m=S6323319501,http://conworkshop.info/view_language.php?l=F3S
1047,Foxdoggery,RomajiMiltonAmul,New,Artistic Language (Artlang),http://conworkshop.info/view_profile.php?m=S7743546052,http://conworkshop.info/view_language.php?l=FXD
1048,Foxes&apos; Language,Pŕitaino,New,Mixed,http://conworkshop.info/view_profile.php?m=S6895583894,http://conworkshop.info/view_language.php?l=MGA
1049,Foše,Cap1Banksy,New,A priori,http://conworkshop.info/view_profile.php?m=S8090612586,http://conworkshop.info/view_language.php?l=FSE
1050,Fractailis,Benjaminmb,New,Engineered Language (Englang),http://conworkshop.info/view_profile.php?m=S2693611022,http://conworkshop.info/view_language.php?l=FRA
1051,Franco-Goidelic,ohno,New,A posteriori,http://conworkshop.info/view_profile.php?m=S8872280093,http://conworkshop.info/view_language.php?l=FGC
1052,Fransish,nazalzacsat,New,Artistic Language (Artlang),http://conworkshop.info/view_profile.php?m=S9952815916,http://conworkshop.info/view_language.php?l=EAI
1053,Frayskewer,Marris,New,A priori,http://conworkshop.info/view_profile.php?m=S7261699972,http://conworkshop.info/view_language.php?l=FRS
1054,French-German Creole,JumpJax,New,Creole,http://conworkshop.info/view_profile.php?m=S1472278878,http://conworkshop.info/view_language.php?l=CDE
1055,Frithoese,Ælfwynn,New,A posteriori,http://conworkshop.info/view_profile.php?m=S2511303795,http://conworkshop.info/view_language.php?l=FSK
1056,Frob,aver,New,A posteriori,http://conworkshop.info/view_profile.php?m=S4779034971,http://conworkshop.info/view_language.php?l=FRB
1057,Frrthrrp,Mucc,Abandoned,Joke language,http://conworkshop.info/view_profile.php?m=S9325775156,http://conworkshop.info/view_language.php?l=FRT
1058,Frsel,TheMópe,New,A priori,http://conworkshop.info/view_profile.php?m=1179077645509449,http://conworkshop.info/view_language.php?l=AAF
1059,Fujanish,Roman Yoshioka,Progressing,Mixed,http://conworkshop.info/view_profile.php?m=190722991340581,http://conworkshop.info/view_language.php?l=FJN
1060,Fun,Yenny,New,A posteriori,http://conworkshop.info/view_profile.php?m=S2151274530,http://conworkshop.info/view_language.php?l=UCC
1061,Funlang,nerdopoly,New,A priori,http://conworkshop.info/view_profile.php?m=S5440625049,http://conworkshop.info/view_language.php?l=FUN
1062,Furahki,olimtalis,New,Mixed,http://conworkshop.info/view_profile.php?m=S1488542271,http://conworkshop.info/view_language.php?l=FRH
1063,Fushan,Joseph Brazier,New,A posteriori,http://conworkshop.info/view_profile.php?m=1161194983914799,http://conworkshop.info/view_language.php?l=FSH
1064,Future English,siliconeyeballz,New,Not specified,http://conworkshop.info/view_profile.php?m=S7946969585,http://conworkshop.info/view_language.php?l=FEN
1065,Future English,StyrTD,New,A posteriori,http://conworkshop.info/view_profile.php?m=S2791610185,http://conworkshop.info/view_language.php?l=FGL
1066,Future English,stirner,Progressing,A posteriori,http://conworkshop.info/view_profile.php?m=S3744020623,http://conworkshop.info/view_language.php?l=FUA
1067,Future french,illeadesostla,New,A posteriori,http://conworkshop.info/view_profile.php?m=S6411697360,http://conworkshop.info/view_language.php?l=FRF
1068,Future Tsupsokil,Brahhium,Progressing,Mixed,http://conworkshop.info/view_profile.php?m=S8522693695,http://conworkshop.info/view_language.php?l=FTS
1069,Fuśian,ClevR,Abandoned,A priori,http://conworkshop.info/view_profile.php?m=S4563454473,http://conworkshop.info/view_language.php?l=FZ1
1070,Fyole,consigliere,New,International Auxiliary Language (IAL),http://conworkshop.info/view_profile.php?m=S4538014948,http://conworkshop.info/view_language.php?l=FYO
1071,Fyrdwelli,RomanNumeralII,Abandoned,A priori,http://conworkshop.info/view_profile.php?m=S2628069628,http://conworkshop.info/view_language.php?l=FYR
1072,Fyrscildic,RonnVonBonn,New,Not specified,http://conworkshop.info/view_profile.php?m=S7087018778,http://conworkshop.info/view_language.php?l=FYD
1073,Fyuga,hashi,Abandoned,A posteriori,http://conworkshop.info/view_profile.php?m=1616732631,http://conworkshop.info/view_language.php?l=FYE
1074,Gac,Cromulant,New,Artistic Language (Artlang),http://conworkshop.info/view_profile.php?m=S5073054979,http://conworkshop.info/view_language.php?l=GAC
1075,Gadanian,Cyneweard,New,International Auxiliary Language (IAL),http://conworkshop.info/view_profile.php?m=S4147027005,http://conworkshop.info/view_language.php?l=ADH
1076,Gaduoczie,nioclás,Functional,Mixed,http://conworkshop.info/view_profile.php?m=S5319689545,http://conworkshop.info/view_language.php?l=GCZ
1077,Gaeradara,Bonezaux,New,Not specified,http://conworkshop.info/view_profile.php?m=S4975909296,http://conworkshop.info/view_language.php?l=NIA
1078,Gahumian,nslyons1,Progressing,Mixed,http://conworkshop.info/view_profile.php?m=S7618561877,http://conworkshop.info/view_language.php?l=GHM
1079,Gaian,tghansen,Progressing,A priori,http://conworkshop.info/view_profile.php?m=S1695069908,http://conworkshop.info/view_language.php?l=GAI
1080,Gaian Language,Roccorendil,New,A posteriori,http://conworkshop.info/view_profile.php?m=S9097237308,http://conworkshop.info/view_language.php?l=QSW
1081,Gakang,Haru,Progressing,A priori,http://conworkshop.info/view_profile.php?m=100008472729394,http://conworkshop.info/view_language.php?l=GKA
1082,Galadian,Maelan,New,Not specified,http://conworkshop.info/view_profile.php?m=S6887538375,http://conworkshop.info/view_language.php?l=CLD
1083,Galamian,ThaumielSonozaki,Progressing,A priori,http://conworkshop.info/view_profile.php?m=S2162455798,http://conworkshop.info/view_language.php?l=GAL
1084,Galeymian,Phönix,New,A priori,http://conworkshop.info/view_profile.php?m=S3459925013,http://conworkshop.info/view_language.php?l=GAA
1085,Galin,DonaldTheWhite,New,A priori,http://conworkshop.info/view_profile.php?m=S1826478742,http://conworkshop.info/view_language.php?l=GSG
1086,Galish,parasperuna,New,A posteriori,http://conworkshop.info/view_profile.php?m=S8386528197,http://conworkshop.info/view_language.php?l=BRS
1087,Gallbeshoneh,mousefire55,New,A priori,http://conworkshop.info/view_profile.php?m=S3737195020,http://conworkshop.info/view_language.php?l=LHA
1088,Gallifreyan,raibean,Progressing,A priori,http://conworkshop.info/view_profile.php?m=S9191212820,http://conworkshop.info/view_language.php?l=GFR
1089,Galoch,Erisceres,New,A priori,http://conworkshop.info/view_profile.php?m=S1732724068,http://conworkshop.info/view_language.php?l=CB1
1090,Gamebe,seumasofur,New,A priori,http://conworkshop.info/view_profile.php?m=S4515524349,http://conworkshop.info/view_language.php?l=GMB
1091,Gamelonian,Adam9812,Progressing,Joke language,http://conworkshop.info/view_profile.php?m=S3089323791,http://conworkshop.info/view_language.php?l=GMO
1092,Garamut,ganipa,New,A posteriori,http://conworkshop.info/view_profile.php?m=S0925055075,http://conworkshop.info/view_language.php?l=GRT
1093,Gardish,StyrTD,New,Artistic Language (Artlang),http://conworkshop.info/view_profile.php?m=S2791610185,http://conworkshop.info/view_language.php?l=GAD
1094,Garelisha,Ultimate Ridley,Progressing,A posteriori,http://conworkshop.info/view_profile.php?m=S2465194687,http://conworkshop.info/view_language.php?l=GSH
1095,Garese,qarlfraer,Progressing,A priori,http://conworkshop.info/view_profile.php?m=S0956359115,http://conworkshop.info/view_language.php?l=GAR
1096,Garga,asdrop,Progressing,International Auxiliary Language (IAL),http://conworkshop.info/view_profile.php?m=100001724414340,http://conworkshop.info/view_language.php?l=199
1097,Gargarar,Spenĉjo,New,Artistic Language (Artlang),http://conworkshop.info/view_profile.php?m=1477854955559260,http://conworkshop.info/view_language.php?l=GRR
1098,Garlonic,McDucky,New,A posteriori,http://conworkshop.info/view_profile.php?m=S1918445135,http://conworkshop.info/view_language.php?l=GLN
1099,Gasaeller,nompynuthead,New,Not specified,http://conworkshop.info/view_profile.php?m=S5115397128,http://conworkshop.info/view_language.php?l=GSX
1100,Gathrirn,Ashucky,New,A priori,http://conworkshop.info/view_profile.php?m=S0656497066,http://conworkshop.info/view_language.php?l=GTH
1101,Gaurish,Vindur,New,A posteriori,http://conworkshop.info/view_profile.php?m=S1936059717,http://conworkshop.info/view_language.php?l=GAU
1102,Gautish,Lme15,Progressing,A posteriori,http://conworkshop.info/view_profile.php?m=S1459778349,http://conworkshop.info/view_language.php?l=GUA
1103,Gavorish,Kyrtch,New,A priori,http://conworkshop.info/view_profile.php?m=S2940780955,http://conworkshop.info/view_language.php?l=GVR
1104,Gavrian,jdam489,Progressing,Engineered Language (Englang),http://conworkshop.info/view_profile.php?m=S7108698682,http://conworkshop.info/view_language.php?l=489
1105,Gazal,Gazelle,Progressing,A priori,http://conworkshop.info/view_profile.php?m=S4507420562,http://conworkshop.info/view_language.php?l=GZL
1106,Gazelle French,Gazelle,New,Mixed,http://conworkshop.info/view_profile.php?m=S4507420562,http://conworkshop.info/view_language.php?l=GZF
1107,Gazhi,CharterJ,New,A priori,http://conworkshop.info/view_profile.php?m=S5315494282,http://conworkshop.info/view_language.php?l=GZH
1108,Gazlandic,Gazelle,New,Mixed,http://conworkshop.info/view_profile.php?m=S4507420562,http://conworkshop.info/view_language.php?l=GSC
1109,Gáweyn Tnaaq,YoruFeisu,New,A posteriori,http://conworkshop.info/view_profile.php?m=S2988498504,http://conworkshop.info/view_language.php?l=TGW
1110,Gõrkun,aver,New,A priori,http://conworkshop.info/view_profile.php?m=S4779034971,http://conworkshop.info/view_language.php?l=GRK
1111,Gelish,Kødi Dälhstrom,New,Mixed,http://conworkshop.info/view_profile.php?m=S1566922375,http://conworkshop.info/view_language.php?l=SWE
1112,Gelleric,Pimpossible,New,A posteriori,http://conworkshop.info/view_profile.php?m=S5205552725,http://conworkshop.info/view_language.php?l=KLC
1113,Gendese,hashi,Abandoned,A priori,http://conworkshop.info/view_profile.php?m=1616732631,http://conworkshop.info/view_language.php?l=GEN
1114,Gengorian,Stone,Progressing,Mixed,http://conworkshop.info/view_profile.php?m=S6098543631,http://conworkshop.info/view_language.php?l=GGR
1115,Genie,Veil,Progressing,Artistic Language (Artlang),http://conworkshop.info/view_profile.php?m=S8461728097,http://conworkshop.info/view_language.php?l=SEG
1116,Genin,Viktor Stamyr,New,A posteriori,http://conworkshop.info/view_profile.php?m=100000784091013,http://conworkshop.info/view_language.php?l=GNG
1117,Gentinian,Yrieix Groulx,New,A posteriori,http://conworkshop.info/view_profile.php?m=S7658770343,http://conworkshop.info/view_language.php?l=IEN
1118,Gerekath,Viper9990,New,A priori,http://conworkshop.info/view_profile.php?m=S8802667232,http://conworkshop.info/view_language.php?l=V1P
1119,Gervenian,Disney Freakie,New,A priori,http://conworkshop.info/view_profile.php?m=S6438687497,http://conworkshop.info/view_language.php?l=GZK
1120,Gezharish,baritone0645,Progressing,A priori,http://conworkshop.info/view_profile.php?m=S2706326343,http://conworkshop.info/view_language.php?l=GXR
1121,Gfiewish,Jute,New,A priori,http://conworkshop.info/view_profile.php?m=S7626069960,http://conworkshop.info/view_language.php?l=GFW
1122,Ghap'emao,Fixsme,New,A priori,http://conworkshop.info/view_profile.php?m=S8260455197,http://conworkshop.info/view_language.php?l=FXL
1123,Ghibalbian,Sam Munroe,Progressing,A priori,http://conworkshop.info/view_profile.php?m=S4259658168,http://conworkshop.info/view_language.php?l=GHB
1124,Ghisaen,Zenyatta,Progressing,Artistic Language (Artlang),http://conworkshop.info/view_profile.php?m=S0934710026,http://conworkshop.info/view_language.php?l=GNT
1125,Gianese,siliconeyeballz,New,Mixed,http://conworkshop.info/view_profile.php?m=S7946969585,http://conworkshop.info/view_language.php?l=GAX
1126,Giant,Cestion,New,A priori,http://conworkshop.info/view_profile.php?m=S3836918158,http://conworkshop.info/view_language.php?l=G01
1127,Gibberish,DEFG,New,Joke language,http://conworkshop.info/view_profile.php?m=S3213547837,http://conworkshop.info/view_language.php?l=GIB
1128,Giedeye,Megafield2,New,Artistic Language (Artlang),http://conworkshop.info/view_profile.php?m=S3175159771,http://conworkshop.info/view_language.php?l=GRD
1129,Gigantish,TheMysteri,New,A posteriori,http://conworkshop.info/view_profile.php?m=S1416688593,http://conworkshop.info/view_language.php?l=GGT
1130,Gigglesnortian,moonieshine,New,Not specified,http://conworkshop.info/view_profile.php?m=S7823489083,http://conworkshop.info/view_language.php?l=GIG
1131,Gisal,KedaseDerragar,Progressing,A priori,http://conworkshop.info/view_profile.php?m=S5103467537,http://conworkshop.info/view_language.php?l=GIS
1132,Gisang,Jeremy Holland,Progressing,A priori,http://conworkshop.info/view_profile.php?m=10100592135852142,http://conworkshop.info/view_language.php?l=GSN
1133,Giskain Kēl,protondonor,Progressing,A posteriori,http://conworkshop.info/view_profile.php?m=S9663218687,http://conworkshop.info/view_language.php?l=KGO
1134,Giyon,Mister §loth,New,A priori,http://conworkshop.info/view_profile.php?m=10154133186325686,http://conworkshop.info/view_language.php?l=GIN
1135,Glachduos,Erisceres,New,A priori,http://conworkshop.info/view_profile.php?m=S1732724068,http://conworkshop.info/view_language.php?l=CB2
1136,Glacial Maakpauean,severy,New,Proto-Conlang,http://conworkshop.info/view_profile.php?m=S1477139194,http://conworkshop.info/view_language.php?l=GMP
1137,Glarosat,Jralloms,Progressing,A priori,http://conworkshop.info/view_profile.php?m=1719091277,http://conworkshop.info/view_language.php?l=GLA
1138,Glarusian,princeofmind,Progressing,A posteriori,http://conworkshop.info/view_profile.php?m=S8111265933,http://conworkshop.info/view_language.php?l=GLU
1139,Glass Speech,warrook,New,A priori,http://conworkshop.info/view_profile.php?m=S9610452655,http://conworkshop.info/view_language.php?l=GSP
1140,Glish,illeadesostla,Abandoned,Mixed,http://conworkshop.info/view_profile.php?m=S6411697360,http://conworkshop.info/view_language.php?l=GLS
1141,Glolatin,Huri Churi,Progressing,A posteriori,http://conworkshop.info/view_profile.php?m=S6104005556,http://conworkshop.info/view_language.php?l=GLO
1142,Glouric,thefishgoddagon,New,Not specified,http://conworkshop.info/view_profile.php?m=S0439320807,http://conworkshop.info/view_language.php?l=GLR
1143,Gnersoan,CantaloupeCat,New,Artistic Language (Artlang),http://conworkshop.info/view_profile.php?m=S0684592622,http://conworkshop.info/view_language.php?l=GNE
1144,Gnomish,sampearson441,New,Not specified,http://conworkshop.info/view_profile.php?m=S0612160288,http://conworkshop.info/view_language.php?l=GNM
1145,Gnoughish,ol bofosh,New,Artistic Language (Artlang),http://conworkshop.info/view_profile.php?m=S8277007021,http://conworkshop.info/view_language.php?l=GNH
1146,Goard,asdrop,New,Logical Language (Loglang),http://conworkshop.info/view_profile.php?m=100001724414340,http://conworkshop.info/view_language.php?l=PYA
1147,Gobahai,Robbie A,Progressing,A priori,http://conworkshop.info/view_profile.php?m=10153701100852549,http://conworkshop.info/view_language.php?l=GBH
1148,Gobovian,B2096RL,Progressing,Mixed,http://conworkshop.info/view_profile.php?m=S1083246292,http://conworkshop.info/view_language.php?l=GOB
1149,Gocheme,milosci,Progressing,A posteriori,http://conworkshop.info/view_profile.php?m=S0090662784,http://conworkshop.info/view_language.php?l=GCM
1150,Goidheren,seumasofur,New,A priori,http://conworkshop.info/view_profile.php?m=S4515524349,http://conworkshop.info/view_language.php?l=GDN
1151,Goklish,DunDunDun,New,Joke language,http://conworkshop.info/view_profile.php?m=S7548720124,http://conworkshop.info/view_language.php?l=BEM
1152,Gokva,Taku,New,Not specified,http://conworkshop.info/view_profile.php?m=S0741778183,http://conworkshop.info/view_language.php?l=GKV
1153,Golem,Rister87,New,A posteriori,http://conworkshop.info/view_profile.php?m=S9138409940,http://conworkshop.info/view_language.php?l=GLM
1154,Golic,Tinzin,New,Logical Language (Loglang),http://conworkshop.info/view_profile.php?m=S9648395666,http://conworkshop.info/view_language.php?l=GLC
1155,Golve,Wallace Loureiro,Progressing,Artistic Language (Artlang),http://conworkshop.info/view_profile.php?m=876206785781065,http://conworkshop.info/view_language.php?l=GOL
1156,Gomaga,jhstudios9,New,A priori,http://conworkshop.info/view_profile.php?m=S0424374124,http://conworkshop.info/view_language.php?l=GMG
1157,Gonyopish,Sandrigoja,New,A priori,http://conworkshop.info/view_profile.php?m=S7367447477,http://conworkshop.info/view_language.php?l=GYO
1158,Gordogese,IdleGamesRock,New,A posteriori,http://conworkshop.info/view_profile.php?m=S0767456528,http://conworkshop.info/view_language.php?l=GRG
1159,Goreugu,IgorTheHusker,New,A priori,http://conworkshop.info/view_profile.php?m=S0596540851,http://conworkshop.info/view_language.php?l=GOR
1160,Goromul,Marlowe Clark,New,A priori,http://conworkshop.info/view_profile.php?m=100001893218553,http://conworkshop.info/view_language.php?l=GO1
1161,Gosin,JumpJax,New,Engineered Language (Englang),http://conworkshop.info/view_profile.php?m=S1472278878,http://conworkshop.info/view_language.php?l=GOS
